riding_code,riding_name,province,region,LPC_pct,CPC_pct,NDP_pct,BQ_pct,GPC_pct,PPC_pct,winner,total_votes
24022,Dorval--Lachine--LaSalle,Quebec,QC,59.36,20.68,4.17,12.57,1.63,0.95,LPC,50420
24023,Drummond,Quebec,QC,28.45,22.74,4.64,42.8,0.0,1.37,BQ,56239
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Quebec,QC,38.29,12.37,1.76,45.79,0.0,0.79,BQ,56984
24025,Gatineau,Quebec,QC,60.54,19.13,2.81,16.33,0.0,0.88,LPC,57399
24026,Hochelaga--Rosemont-Est,Quebec,QC,46.14,10.56,13.04,27.18,2.6,0.0,LPC,51147
24027,Honoré-Mercier,Quebec,QC,60.16,21.48,3.59,12.93,1.14,0.71,LPC,49780
24028,Hull--Aylmer,Quebec,QC,62.11,16.95,5.55,12.14,2.19,0.66,LPC,51487
24029,Joliette--Manawan,Quebec,QC,31.26,15.24,2.46,49.27,1.77,0.0,BQ,57229
24030,Jonquière,Quebec,QC,26.02,30.25,1.84,39.99,0.88,1.02,BQ,50629
24031,La Pointe-de-l'Île,Quebec,QC,37.68,12.74,4.28,43.11,1.84,0.0,BQ,53209
24032,La Prairie--Atateken,Quebec,QC,44.06,17.23,2.38,34.8,0.98,0.54,LPC,66761
24033,Lac-Saint-Jean,Quebec,QC,26.25,24.69,1.71,46.21,0.0,1.13,BQ,47756
24034,Lac-Saint-Louis,Quebec,QC,67.63,23.67,2.92,3.63,1.42,0.73,LPC,64242
24035,LaSalle--Émard--Verdun,Quebec,QC,50.86,13.82,10.36,21.25,2.41,0.48,LPC,53953
24036,Laurentides--Labelle,Quebec,QC,34.94,14.91,2.53,44.57,1.63,1.41,BQ,52983
24037,Laurier--Sainte-Marie,Quebec,QC,52.07,9.15,18.81,15.42,2.77,0.48,LPC,52401
24038,Laval--Les Îles,Quebec,QC,49.73,32.25,3.45,14.58,0.0,0.0,LPC,56916
24039,Les Pays-d'en-Haut,Quebec,QC,41.04,17.98,2.27,36.15,1.58,0.97,LPC,65703
24040,Lévis--Lotbinière,Quebec,QC,29.43,47.71,2.34,19.52,0.0,1.0,CPC,69821
24041,Longueuil--Charles-LeMoyne,Quebec,QC,49.39,16.79,5.56,26.69,0.0,0.81,LPC,50900
24042,Longueuil--Saint-Hubert,Quebec,QC,40.98,14.28,5.05,39.68,0.0,0.0,LPC,59138
24043,Louis-Hébert,Quebec,QC,55.44,20.12,2.55,21.34,0.0,0.55,LPC,60445
24044,Louis-Saint-Laurent--Akiawenhrahk,Quebec,QC,32.96,44.86,2.44,18.94,0.0,0.8,CPC,65817
24045,Marc-Aurèle-Fortin,Quebec,QC,51.99,20.71,3.7,23.6,0.0,0.0,LPC,57563
24046,Mégantic--L'Érable--Lotbinière,Quebec,QC,21.48,58.79,1.82,16.38,0.0,1.22,CPC,58635
24047,Mirabel,Quebec,QC,33.35,22.26,2.37,39.91,1.41,0.71,BQ,56359
24048,Mount Royal/Mont-Royal,Quebec,QC,51.06,40.47,4.7,3.34,0.0,0.0,LPC,50028
24049,Mont-Saint-Bruno--L'Acadie,Quebec,QC,47.1,13.68,2.33,35.09,1.22,0.58,LPC,68251
24050,Montcalm,Quebec,QC,26.95,23.22,3.23,46.6,0.0,0.0,BQ,58519
24051,Montmorency--Charlevoix,Quebec,QC,28.79,34.5,1.52,33.62,0.98,0.6,CPC,59407
