riding_code,riding_name,province,projected_winner,Share_LPC,Share_CPC,Share_NDP,Share_BQ,Share_GPC,Share_PPC
48007,Calgary East/Calgary-Est,Alberta,CPC,34.9,50.2,7.9,0.0,2.7,4.4
48008,Calgary Heritage,Alberta,CPC,37.6,51.4,6.7,0.0,2.1,2.2
48009,Calgary McKnight,Alberta,LPC,49.8,37.4,7.1,0.0,2.1,3.6
48010,Calgary Midnapore,Alberta,CPC,32.5,55.1,7.4,0.0,2.0,3.1
48011,Calgary Nose Hill,Alberta,CPC,40.1,48.9,7.0,0.0,1.9,2.1
48012,Calgary Shepard,Alberta,CPC,32.1,56.5,6.8,0.0,1.7,2.9
48013,Calgary Signal Hill,Alberta,CPC,39.1,50.9,6.0,0.0,1.3,2.7
48014,Calgary Skyview,Alberta,LPC,46.6,43.6,6.5,0.0,1.2,2.2
48015,Edmonton Centre/Edmonton-Centre,Alberta,LPC,48.8,27.2,19.5,0.0,1.7,2.9
48016,Edmonton Gateway,Alberta,LPC,42.6,42.6,9.5,0.0,1.6,3.8
48017,Edmonton Griesbach,Alberta,NDP,19.5,36.1,39.3,0.0,1.9,3.2
48018,Edmonton Manning,Alberta,CPC,37.4,41.3,15.4,0.0,1.6,4.2
48019,Edmonton Northwest/Edmonton-Nord-Ouest,Alberta,CPC,40.9,42.8,10.5,0.0,2.0,3.8
48020,Edmonton Riverbend,Alberta,LPC,47.6,39.4,9.2,0.0,1.3,2.5
48021,Edmonton Southeast/Edmonton-Sud-Est,Alberta,CPC,41.9,42.7,9.4,0.0,1.5,4.6
48022,Edmonton Strathcona,Alberta,NDP,19.3,21.2,55.0,0.0,1.8,2.8
48023,Edmonton West/Edmonton-Ouest,Alberta,LPC,44.0,41.0,10.3,0.0,1.6,3.2
48024,Foothills,Alberta,CPC,22.0,65.7,6.0,0.0,2.4,3.9
48025,Fort McMurray--Cold Lake,Alberta,CPC,16.0,70.4,6.0,0.0,1.7,5.9
48026,Grande Prairie,Alberta,CPC,15.7,70.6,8.2,0.0,1.5,4.1
48027,Lakeland,Alberta,CPC,15.1,70.5,6.9,0.0,2.0,5.5
48028,Leduc--Wetaskiwin,Alberta,CPC,20.9,63.8,10.1,0.0,1.5,3.8
48029,Lethbridge,Alberta,CPC,35.3,51.6,7.3,0.0,2.4,3.4
48030,Medicine Hat--Cardston--Warner,Alberta,CPC,20.7,65.7,8.3,0.0,1.9,3.4
48031,Parkland,Alberta,CPC,21.4,64.2,8.2,0.0,2.1,4.2
48032,Peace River--Westlock,Alberta,CPC,14.6,69.6,9.6,0.0,1.6,4.7
48033,Ponoka--Didsbury,Alberta,CPC,4.7,73.8,15.2,0.0,1.5,4.7
48034,Red Deer,Alberta,CPC,25.3,60.5,7.8,0.0,2.4,4.0
48035,Sherwood Park--Fort Saskatchewan,Alberta,CPC,30.9,54.6,9.4,0.0,1.8,3.3
48036,St. Albert--Sturgeon River,Alberta,CPC,32.8,53.2,8.7,0.0,1.5,3.8
48037,Yellowhead,Alberta,CPC,27.6,58.6,7.0,0.0,1.5,5.3
59001,Abbotsford--South Langley/Abbotsford--Langley-Sud,British Columbia,CPC,40.5,43.4,10.6,0.0,3.1,2.5
59002,Burnaby Central,British Columbia,LPC,43.6,29.3,23.0,0.0,1.8,2.3
59003,Burnaby North--Seymour/Burnaby-Nord--Seymour,British Columbia,LPC,62.6,24.5,9.6,0.0,1.9,1.4
59004,Cariboo--Prince George,British Columbia,CPC,30.3,53.2,10.9,0.0,3.0,2.6
59005,Chilliwack--Hope,British Columbia,CPC,34.4,47.0,13.6,0.0,2.7,2.3
59006,Cloverdale--Langley City,British Columbia,LPC,48.4,39.1,8.7,0.0,1.9,1.9
59007,Columbia--Kootenay--Southern Rockies,British Columbia,CPC,28.2,44.3,22.6,0.0,2.9,2.0
59008,Coquitlam--Port Coquitlam,British Columbia,LPC,50.9,32.9,12.9,0.0,1.9,1.4
59009,Courtenay--Alberni,British Columbia,NDP,22.8,27.9,43.9,0.0,3.4,2.1
59010,Cowichan--Malahat--Langford,British Columbia,NDP,28.2,29.1,36.9,0.0,4.2,1.7
59011,Delta,British Columbia,LPC,54.9,33.5,8.6,0.0,1.6,1.4
59012,Esquimalt--Saanich--Sooke,British Columbia,LPC,50.7,18.9,24.0,0.0,5.1,1.3
59013,Fleetwood--Port Kells,British Columbia,LPC,52.3,34.6,9.1,0.0,2.1,1.9
59014,Kamloops--Shuswap--Central Rockies,British Columbia,CPC,38.4,45.3,10.4,0.0,3.7,2.1
59015,Kamloops--Thompson--Nicola,British Columbia,CPC,39.6,44.5,10.8,0.0,2.9,2.1
59016,Kelowna,British Columbia,LPC,49.7,37.7,8.6,0.0,2.6,1.4
59017,Langley Township--Fraser Heights,British Columbia,CPC,42.6,44.2,9.1,0.0,2.3,1.8
59018,Mission--Matsqui--Abbotsford,British Columbia,CPC,36.0,49.7,9.5,0.0,2.7,2.1
59019,Nanaimo--Ladysmith,British Columbia,CPC,27.8,28.3,22.5,0.0,19.7,1.7
59020,New Westminster--Burnaby--Maillardville,British Columbia,LPC,36.9,22.5,36.5,0.0,2.8,1.4
59021,North Island--Powell River,British Columbia,NDP,26.2,33.5,35.0,0.0,3.7,1.7
59022,North Vancouver--Capilano,British Columbia,LPC,61.3,24.4,9.4,0.0,3.1,1.7
59023,Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud,British Columbia,LPC,43.9,43.4,8.5,0.0,2.5,1.8
59024,Pitt Meadows--Maple Ridge,British Columbia,LPC,46.0,37.6,13.0,0.0,1.4,2.0
59025,Port Moody--Coquitlam,British Columbia,LPC,45.1,31.1,21.0,0.0,1.8,1.1
59026,Prince George--Peace River--Northern Rockies,British Columbia,CPC,19.8,63.8,10.1,0.0,3.0,3.3
59027,Richmond Centre--Marpole/Richmond-Centre--Marpole,British Columbia,LPC,44.6,41.7,9.6,0.0,2.5,1.7
59028,Richmond East--Steveston/Richmond-Est--Steveston,British Columbia,LPC,49.5,37.2,9.5,0.0,2.5,1.4
59029,Saanich--Gulf Islands,British Columbia,GPC,31.3,18.0,8.9,0.0,40.8,1.0
59030,Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest,British Columbia,LPC,37.2,36.7,20.9,0.0,3.0,2.2
59031,Skeena--Bulkley Valley,British Columbia,NDP,11.7,40.4,43.2,0.0,2.6,2.0
59032,South Surrey--White Rock/Surrey-Sud--White Rock,British Columbia,LPC,51.7,38.1,6.8,0.0,2.1,1.2
59033,Surrey Centre/Surrey-Centre,British Columbia,LPC,54.0,30.1,11.8,0.0,2.3,1.9
59034,Surrey Newton,British Columbia,LPC,58.2,29.2,10.3,0.0,1.2,1.1
59035,Vancouver Centre/Vancouver-Centre,British Columbia,LPC,57.5,20.4,17.8,0.0,2.9,1.4
59036,Vancouver East/Vancouver-Est,British Columbia,NDP,35.5,9.3,49.8,0.0,4.0,1.5
59037,Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud,British Columbia,LPC,54.7,25.9,14.5,0.0,2.7,2.2
59038,Vancouver Granville,British Columbia,LPC,60.3,20.4,16.1,0.0,2.3,0.9
59039,Vancouver Kingsway,British Columbia,NDP,38.2,14.8,43.1,0.0,2.4,1.5
59040,Vancouver Quadra,British Columbia,LPC,63.8,23.0,8.7,0.0,3.4,1.1
59041,Vernon--Lake Country--Monashee,British Columbia,CPC,42.5,43.0,10.1,0.0,3.1,1.4
59042,Victoria,British Columbia,LPC,54.2,9.4,29.3,0.0,5.7,1.3
59043,West Vancouver--Sunshine Coast--Sea to Sky Country,British Columbia,LPC,59.1,24.2,10.3,0.0,5.0,1.4
60001,Yukon,Yukon,LPC,55.1,29.0,9.9,0.3,4.6,1.1
61001,Northwest Territories/Territoires du Nord-Ouest,Northwest Territories,LPC,55.2,21.1,18.8,0.3,3.4,1.2
62001,Nunavut,Nunavut,NDP,37.2,17.2,43.3,0.4,1.3,0.7
