riding_code,riding_name,province,region,LPC_e,CPC_e,NDP_e,BQ_e,GPC_e,PPC_e,n_obs
24023,Drummond,Quebec,QC,1.0332,0.8708,1.9249,0.9427,1.0523,-0.0036,2
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Quebec,QC,0.2371,0.7201,0.7461,0.2,0.9923,0.8356,2
24025,Gatineau,Quebec,QC,1.0704,1.0039,1.3743,1.2333,0.9429,1.724,2
24026,Hochelaga--Rosemont-Est,Quebec,QC,1.0,1.0,1.0,1.0,1.0,1.0,0
24027,Honoré-Mercier,Quebec,QC,0.6085,1.2089,0.8649,0.9059,0.7615,1.7206,2
24028,Hull--Aylmer,Quebec,QC,1.0319,0.9929,1.059,0.9678,1.1591,1.4609,2
24029,Joliette--Manawan,Quebec,QC,1.0,1.0,1.0,1.0,1.0,1.0,0
24030,Jonquière,Quebec,QC,0.8253,1.368,1.7772,0.7678,0.656,0.0585,2
24031,La Pointe-de-l'Île,Quebec,QC,0.8401,0.7523,1.0415,0.9185,1.059,1.3212,2
24032,La Prairie--Atateken,Quebec,QC,1.0,1.0,1.0,1.0,1.0,1.0,0
24033,Lac-Saint-Jean,Quebec,QC,0.9396,0.6399,0.9919,1.0055,0.6294,0.0631,2
24034,Lac-Saint-Louis,Quebec,QC,1.1094,1.1112,0.7065,0.7525,1.1044,1.147,2
24035,LaSalle--Émard--Verdun,Quebec,QC,0.9552,0.866,0.6316,0.6754,1.1071,1.4394,2
24036,Laurentides--Labelle,Quebec,QC,1.0498,1.0106,0.6772,1.097,0.9176,1.5283,2
24037,Laurier--Sainte-Marie,Quebec,QC,1.2321,0.845,0.9058,1.0468,1.1097,0.8711,2
24038,Laval--Les Îles,Quebec,QC,0.6358,1.4732,0.9774,1.0037,0.9696,2.0029,2
24039,Les Pays-d'en-Haut,Quebec,QC,1.0,1.0,1.0,1.0,1.0,1.0,0
24040,Lévis--Lotbinière,Quebec,QC,1.2621,0.9379,0.6259,0.7929,0.8215,0.4558,2
24041,Longueuil--Charles-LeMoyne,Quebec,QC,1.0009,1.0507,0.6692,1.3706,1.0457,1.187,2
24042,Longueuil--Saint-Hubert,Quebec,QC,0.7192,0.9489,0.7388,0.7364,1.7315,1.1595,2
24043,Louis-Hébert,Quebec,QC,1.3656,0.8713,0.847,1.123,0.7788,0.0601,2
24044,Louis-Saint-Laurent--Akiawenhrahk,Quebec,QC,1.0,1.0,1.0,1.0,1.0,1.0,0
24045,Marc-Aurèle-Fortin,Quebec,QC,0.953,1.1982,0.674,1.2459,1.1044,1.3484,2
24046,Mégantic--L'Érable--Lotbinière,Quebec,QC,1.0,1.0,1.0,1.0,1.0,1.0,0
24047,Mirabel,Quebec,QC,1.0404,1.4347,0.6858,1.1957,1.023,1.6593,2
24048,Mount Royal/Mont-Royal,Quebec,QC,0.303,1.3699,0.5968,0.6529,0.9723,1.2365,2
24049,Mont-Saint-Bruno--L'Acadie,Quebec,QC,1.0,1.0,1.0,1.0,1.0,1.0,0
24050,Montcalm,Quebec,QC,0.9194,1.4252,0.6347,1.193,0.8469,1.8967,2
24051,Montmorency--Charlevoix,Quebec,QC,1.0,1.0,1.0,1.0,1.0,1.0,0
24052,Notre-Dame-de-Grâce--Westmount,Quebec,QC,1.0583,1.0538,0.7836,0.6287,1.4954,1.3623,2
24053,Outremont,Quebec,QC,1.0395,0.8582,0.9769,0.8745,1.7809,1.0758,2
24054,Papineau,Quebec,QC,0.7201,0.8467,0.4882,0.4627,1.1578,1.0358,2
24055,Pierre-Boucher--Les Patriotes--Verchères,Quebec,QC,1.1797,0.6922,0.4998,1.3338,1.2485,0.9049,2
24056,Pierrefonds--Dollard,Quebec,QC,0.7823,1.3671,0.6164,0.8243,1.2899,1.4717,2
24057,Pontiac--Kitigan Zibi,Quebec,QC,1.0,1.0,1.0,1.0,1.0,1.0,0
24058,Portneuf--Jacques-Cartier,Quebec,QC,1.2097,1.1701,0.8395,1.1329,1.0764,0.5669,2
24059,Québec Centre/Québec-Centre,Quebec,QC,1.0,1.0,1.0,1.0,1.0,1.0,0
24060,Repentigny,Quebec,QC,1.0977,0.974,0.5091,1.4496,1.067,0.1484,2
24061,Richmond--Arthabaska,Quebec,QC,1.4077,0.6329,0.6727,0.3694,1.3125,1.3747,2
24062,Rimouski--La Matapédia,Quebec,QC,1.0,1.0,1.0,1.0,1.0,1.0,0
