date,firm,LPC,CPC,NDP,BQ,GPC,PPC,sample_size
2025-11-08,Liaison,44.0,36.0,10.0,6.0,2.0,1.0,
2025-11-08,Mainstreet,44.0,40.0,5.0,6.0,2.0,2.0,
2025-11-07,Nanos,40.0,37.0,11.0,8.0,2.0,1.0,
2025-11-07,North Poll,40.0,40.0,8.0,8.0,3.0,1.0,
2025-11-07,Angus Reid,40.0,38.0,9.0,8.0,3.0,1.0,
2025-11-06,Abacus,40.0,41.0,8.0,7.0,2.0,1.0,
2025-11-04,EKOS,43.0,36.0,8.0,6.0,4.0,2.0,
2025-11-03,Liaison,42.0,38.0,11.0,5.0,2.0,1.0,
2025-11-02,Leger,43.0,38.0,7.0,7.0,4.0,,
2025-10-31,Nanos,39.0,37.0,13.0,7.0,2.0,2.0,
2025-10-29,Abacus,40.0,42.0,8.0,6.0,3.0,1.0,
2025-10-27,Innovative,40.0,39.0,9.0,7.0,3.0,,
2025-10-24,EKOS,44.0,32.0,12.0,6.0,3.0,2.0,
2025-10-24,Nanos,39.0,37.0,13.0,7.0,2.0,1.0,
2025-10-17,Nanos,39.0,37.0,12.0,7.0,3.0,1.0,
2025-10-16,Pallas,41.0,37.0,11.0,6.0,3.0,,
2025-10-15,Abacus,40.0,41.0,8.0,7.0,3.0,1.0,
2025-10-10,Nanos,39.0,37.0,12.0,7.0,4.0,1.0,
2025-10-05,Leger,44.0,38.0,7.0,6.0,3.0,,
2025-10-03,Nanos,39.0,38.0,12.0,6.0,4.0,1.0,
2025-10-01,Abacus,40.0,41.0,7.0,7.0,3.0,2.0,
2025-09-26,Nanos,41.0,37.0,12.0,5.0,4.0,1.0,
2025-09-22,Angus Reid,38.0,41.0,10.0,8.0,2.0,1.0,
2025-09-21,Liaison,43.0,37.0,10.0,5.0,2.0,2.0,
2025-09-19,Nanos,41.0,36.0,12.0,6.0,3.0,2.0,
2025-09-17,Abacus,40.0,40.0,8.0,7.0,3.0,1.0,
2025-09-12,Research Co,43.0,38.0,8.0,6.0,2.0,1.0,
2025-09-12,Nanos,42.0,35.0,13.0,6.0,3.0,2.0,
2025-09-12,EKOS,42.0,34.0,13.0,5.0,3.0,2.0,
2025-09-08,Ipsos,43.0,39.0,7.0,7.0,1.0,2.0,
2025-09-07,Leger,47.0,38.0,6.0,6.0,2.0,,
2025-09-05,Nanos,43.0,33.0,13.0,5.0,4.0,2.0,
2025-09-04,Angus Reid,38.0,40.0,10.0,8.0,2.0,1.0,
2025-09-02,Abacus,43.0,40.0,6.0,7.0,2.0,1.0,
